"S21 Log Mag"
"Freq (Hz)","dB",
10000000000, -2.679719e+000,
10000781250, -2.672422e+000,
10001562500, -2.679646e+000,
10002343750, -2.679475e+000,
10003125000, -2.686723e+000,
10003906250, -2.679782e+000,
10004687500, -2.682231e+000,
10005468750, -2.681343e+000,
10006250000, -2.685155e+000,
10007031250, -2.693622e+000,
10007812500, -2.694099e+000,
10008593750, -2.695170e+000,
10009375000, -2.709031e+000,
10010156250, -2.700236e+000,
10010937500, -2.700653e+000,
10011718750, -2.696724e+000,
10012500000, -2.704759e+000,
10013281250, -2.707273e+000,
10014062500, -2.702487e+000,
10014843750, -2.705411e+000,
10015625000, -2.694877e+000,
10016406250, -2.697034e+000,
10017187500, -2.691371e+000,
10017968750, -2.694229e+000,
10018750000, -2.691815e+000,
10019531250, -2.690269e+000,
10020312500, -2.681667e+000,
10021093750, -2.680815e+000,
10021875000, -2.684398e+000,
10022656250, -2.672541e+000,
10023437500, -2.668388e+000,
10024218750, -2.679698e+000,
10025000000, -2.668892e+000,
10025781250, -2.672792e+000,
10026562500, -2.663230e+000,
10027343750, -2.658174e+000,
10028125000, -2.670726e+000,
10028906250, -2.655280e+000,
10029687500, -2.658855e+000,
10030468750, -2.666911e+000,
10031250000, -2.659863e+000,
10032031250, -2.669177e+000,
10032812500, -2.660222e+000,
10033593750, -2.655372e+000,
10034375000, -2.659810e+000,
10035156250, -2.671235e+000,
10035937500, -2.665897e+000,
10036718750, -2.665110e+000,
10037500000, -2.673387e+000,
10038281250, -2.667951e+000,
10039062500, -2.683202e+000,
10039843750, -2.661631e+000,
10040625000, -2.674739e+000,
10041406250, -2.689141e+000,
10042187500, -2.683245e+000,
10042968750, -2.680516e+000,
10043750000, -2.678085e+000,
10044531250, -2.683244e+000,
10045312500, -2.684253e+000,
10046093750, -2.681109e+000,
10046875000, -2.694266e+000,
10047656250, -2.686718e+000,
10048437500, -2.702044e+000,
10049218750, -2.682494e+000,
10050000000, -2.687056e+000,
10050781250, -2.677534e+000,
10051562500, -2.680492e+000,
10052343750, -2.675743e+000,
10053125000, -2.669024e+000,
10053906250, -2.674381e+000,
10054687500, -2.672720e+000,
10055468750, -2.675751e+000,
10056250000, -2.671835e+000,
10057031250, -2.670500e+000,
10057812500, -2.687120e+000,
10058593750, -2.663375e+000,
10059375000, -2.664945e+000,
10060156250, -2.676696e+000,
10060937500, -2.663065e+000,
10061718750, -2.652595e+000,
10062500000, -2.651659e+000,
10063281250, -2.660579e+000,
10064062500, -2.660432e+000,
10064843750, -2.663322e+000,
10065625000, -2.653867e+000,
10066406250, -2.661999e+000,
10067187500, -2.673494e+000,
10067968750, -2.659878e+000,
10068750000, -2.664640e+000,
10069531250, -2.655571e+000,
10070312500, -2.662335e+000,
10071093750, -2.670066e+000,
10071875000, -2.638643e+000,
10072656250, -2.664488e+000,
10073437500, -2.664566e+000,
10074218750, -2.664843e+000,
10075000000, -2.671700e+000,
10075781250, -2.652763e+000,
10076562500, -2.659055e+000,
10077343750, -2.662681e+000,
10078125000, -2.653195e+000,
10078906250, -2.656344e+000,
10079687500, -2.651356e+000,
10080468750, -2.649957e+000,
10081250000, -2.653203e+000,
10082031250, -2.664454e+000,
10082812500, -2.659074e+000,
10083593750, -2.658656e+000,
10084375000, -2.665648e+000,
10085156250, -2.654722e+000,
10085937500, -2.663566e+000,
10086718750, -2.652217e+000,
10087500000, -2.652968e+000,
10088281250, -2.660891e+000,
10089062500, -2.667921e+000,
10089843750, -2.673489e+000,
10090625000, -2.671566e+000,
10091406250, -2.679365e+000,
10092187500, -2.677396e+000,
10092968750, -2.678226e+000,
10093750000, -2.676203e+000,
10094531250, -2.656557e+000,
10095312500, -2.676108e+000,
10096093750, -2.671648e+000,
10096875000, -2.674365e+000,
10097656250, -2.660698e+000,
10098437500, -2.684130e+000,
10099218750, -2.680908e+000,
10100000000, -2.680646e+000,
10100781250, -2.678370e+000,
10101562500, -2.672521e+000,
10102343750, -2.672670e+000,
10103125000, -2.674623e+000,
