!CSV A.01.01
!Agilent Technologies,N5230C,MY49001835,A.09.33.09
!Agilent N5230C: A.09.33.09
!Date: Wednesday, March 19, 2014 01:10:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S41(DB),S41(DEG)
300000,9.6782379,-18.057222
4634678.2260754,12.266581,8.5355406
8969356.4521507,13.010085,40.939655
13304034.678226,11.47162,48.044827
17638712.904301,9.4461136,68.613899
21973391.130377,9.8911819,71.435768
26308069.356452,14.003264,90.948776
30642747.582528,11.740426,93.863747
34977425.808603,13.241281,78.990631
39312104.034678,13.137391,108.62565
43646782.260754,13.893601,103.3967
47981460.486829,13.466885,140.81017
52316138.712904,13.030738,131.73895
56650816.93898,16.222395,105.42937
60985495.165055,14.605961,149.62135
65320173.39113,15.802329,107.40018
69654851.617206,13.10474,156.23886
73989529.843281,18.53723,111.94833
78324208.069356,16.512823,132.23363
82658886.295432,14.127418,113.84464
86993564.521507,10.321316,168.83376
91328242.747583,12.190261,-178.75688
95662920.973658,10.193699,166.12399
99997599.199733,10.577045,-174.71747
104332277.42581,8.9136362,-161.17896
108666955.65188,12.351818,-171.21402
113001633.87796,7.4406261,-144.48151
117336312.10403,12.668907,-145.17574
121670990.33011,7.6018033,-145.60809
126005668.55619,8.7035398,-126.08855
130340346.78226,12.421991,-133.35654
134675025.00834,13.045437,-127.09574
139009703.23441,20.50135,-134.97389
143344381.46049,11.111141,-155.15842
147679059.68656,12.022206,-146.8501
152013737.91264,13.34894,-132.32405
156348416.13871,12.818921,-167.68103
160683094.36479,8.4233837,-154.4193
165017772.59086,13.107655,-129.77179
169352450.81694,9.5166941,-170.05095
173687129.04301,9.0132561,-135.84419
178021807.26909,9.7053032,-153.05383
182356485.49517,12.008492,-130.53867
186691163.72124,11.315278,-137.77235
191025841.94732,10.295058,-103.93433
195360520.17339,9.8140354,-114.87547
199695198.39947,10.878065,-128.0379
204029876.62554,9.0150681,-101.44472
208364554.85162,11.568797,-126.40894
