Trace
Swept SA
A.08.04,N9030A
543 B1X B25 B40 CR3 CRP DP2 EP1 FSA LFE MPB NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.016666666667
Start Frequency,0
Stop Frequency,5000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-14.012185905959
5000000,-54.0139602483638
10000000,-15.655839160959
15000000,-56.5394079843371
20000000,-16.0206738873172
25000000,-58.1146831446919
30000000,-16.2743437559199
35000000,-63.1246726694185
40000000,-16.4896074813789
45000000,-67.6459294141768
50000000,-16.8547982551289
55000000,-70.1678171163101
60000000,-17.4412563911143
65000000,-66.1969339461553
70000000,-18.3973875922486
75000000,-64.3073909758052
80000000,-19.7724326047842
85000000,-67.1008634550157
90000000,-21.140040914385
95000000,-64.7454779274874
100000000,-21.4189497096939
105000000,-62.1816522973568
110000000,-21.8058941721536
115000000,-62.0448912630162
120000000,-23.1428901035071
125000000,-65.6248184516151
130000000,-24.943535998417
135000000,-77.1312267353251
140000000,-26.7359050490932
145000000,-84.0087822581249
150000000,-26.8130930334774
155000000,-71.642760170866
160000000,-27.3494436272956
165000000,-68.0605396795975
170000000,-28.2953528156518
175000000,-70.7159111930757
180000000,-29.6542963233194
185000000,-77.0680133580432
190000000,-31.3711539119564
195000000,-72.7616330945
200000000,-31.9993328663228
205000000,-75.2677338501321
210000000,-32.2833084117135
215000000,-77.8263953700723
220000000,-32.9620023359262
225000000,-75.9328115049783
230000000,-34.0890075319894
235000000,-77.4868148140664
240000000,-35.4078311574838
245000000,-86.5134184945485
250000000,-37.62265834067
255000000,-79.0254630200557
260000000,-39.6021550038481
265000000,-93.3651219291078
270000000,-39.9199602151341
275000000,-92.1329460382088
280000000,-39.5304786832404
285000000,-83.5664354353671
290000000,-41.1790030223694
295000000,-81.9378778709195
300000000,-41.8838688810785
305000000,-83.6510766230368
310000000,-41.6127390528736
315000000,-88.4701170716141
320000000,-42.6108445795636
325000000,-82.7729509809946
330000000,-41.7076693517005
335000000,-77.9437449101383
340000000,-40.2202195974091
345000000,-81.9448010217161
350000000,-39.1860531209082
355000000,-78.6769317129116
360000000,-39.1889652565087
365000000,-89.1333354285311
370000000,-38.5450052928265
375000000,-81.8323205461233
380000000,-38.4919342841736
385000000,-88.1227307808564
390000000,-37.6799742712786
395000000,-85.4364946462711
400000000,-37.7769427047231
405000000,-84.5978889009192
410000000,-38.2876803939903
415000000,-91.2442099273064
420000000,-38.5766212306694
425000000,-80.8371070071159
430000000,-39.8902857915824
435000000,-79.7213429306067
440000000,-39.9618411792283
445000000,-80.7682845984675
450000000,-40.690228486284
455000000,-80.7531514700579
460000000,-40.5882000783801
465000000,-78.9975159118854
470000000,-42.1397788207447
475000000,-82.9846742524678
480000000,-43.3084556407583
485000000,-85.0296682132795
490000000,-44.4549359127337
495000000,-86.679620840435
500000000,-43.9427053238491
505000000,-83.4503299695313
510000000,-44.0654598806676
