Type;FSV-40;
Version;2.30 SP1;
Date;08.Jan 16;
Mode;ANALYZER;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;9999500000.000000;Hz
Stop;10000500000.000000;Hz
Ref Level;-68.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;11.377200;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;691;
9999500000;-137.04598999023437;-200
9999501449.275362;-136.87586975097656;-189.58149719238281
9999502898.550724;-136.07572937011719;-185.81527709960937
9999504347.826086;-136.83917236328125;-188.11512756347656
9999505797.1014481;-136.75668334960937;-190.11012268066406
9999507246.3768101;-136.99696350097656;-200
9999508695.6521721;-136.63285827636719;-187.94427490234375
9999510144.9275341;-137.66505432128906;-189.55168151855469
9999511594.2028961;-137.48184204101562;-191.41329956054687
9999513043.4782581;-137.2728271484375;-181.44486999511719
9999514492.7536201;-136.17416381835937;-186.76071166992187
9999515942.0289822;-136.80517578125;-193.84829711914062
9999517391.3043442;-136.51039123535156;-196.42692565917969
9999518840.5797062;-136.30287170410156;-189.3450927734375
9999520289.8550682;-137.51615905761719;-191.96897888183594
9999521739.1304302;-137.34944152832031;-197.7899169921875
9999523188.4057922;-136.77149963378906;-188.43440246582031
9999524637.6811543;-136.41841125488281;-195.19606018066406
9999526086.9565163;-137.50950622558594;-186.52098083496094
9999527536.2318783;-136.99259948730469;-182.21897888183594
9999528985.5072403;-137.70809936523437;-193.82786560058594
9999530434.7826023;-137.57644653320312;-191.56642150878906
9999531884.0579643;-135.89544677734375;-186.83760070800781
9999533333.3333263;-136.72380065917969;-200
9999534782.6086884;-136.73773193359375;-186.35052490234375
9999536231.8840504;-137.4183349609375;-182.54525756835937
9999537681.1594124;-136.61213684082031;-184.66297912597656
9999539130.4347744;-137.54876708984375;-198.1396484375
9999540579.7101364;-136.8399658203125;-186.00479125976562
9999542028.9854984;-136.83219909667969;-190.53068542480469
9999543478.2608604;-136.88008117675781;-181.67048645019531
9999544927.5362225;-137.0101318359375;-185.32426452636719
9999546376.8115845;-137.47149658203125;-186.54576110839844
9999547826.0869465;-136.86782836914062;-180.77284240722656
9999549275.3623085;-135.74565124511719;-191.64019775390625
9999550724.6376705;-136.05194091796875;-194.83404541015625
9999552173.9130325;-136.47770690917969;-186.50602722167969
9999553623.1883945;-137.87098693847656;-193.57496643066406
9999555072.4637566;-135.78567504882812;-189.56643676757812
9999556521.7391186;-136.87222290039063;-198.09378051757812
9999557971.0144806;-136.51261901855469;-185.18545532226562
9999559420.2898426;-137.06315612792969;-185.94976806640625
9999560869.5652046;-137.5634765625;-186.211181640625
9999562318.8405666;-125.3338623046875;-185.69532775878906
9999563768.1159286;-136.60284423828125;-182.33729553222656
9999565217.3912907;-136.45005798339844;-183.47895812988281
9999566666.6666527;-137.47421264648437;-195.572509765625
9999568115.9420147;-136.46917724609375;-191.04924011230469
9999569565.2173767;-136.63827514648437;-192.88101196289062
9999571014.4927387;-136.57113647460937;-198.44645690917969
9999572463.7681007;-136.28071594238281;-200
9999573913.0434628;-136.55972290039062;-186.85789489746094
9999575362.3188248;-135.93885803222656;-196.68746948242187
9999576811.5941868;-137.43550109863281;-188.71115112304687
9999578260.8695488;-136.85054016113281;-183.8995361328125
9999579710.1449108;-136.5498046875;-200
9999581159.4202728;-137.48350524902344;-186.57481384277344
9999582608.6956348;-136.82601928710937;-196.37750244140625
9999584057.9709969;-137.20668029785156;-184.7130126953125
9999585507.2463589;-137.26936340332031;-195.94940185546875
9999586956.5217209;-137.46009826660156;-187.68170166015625
9999588405.7970829;-137.25283813476562;-187.98806762695312
9999589855.0724449;-136.62582397460937;-189.18858337402344
9999591304.3478069;-137.84063720703125;-184.70762634277344
9999592753.6231689;-136.77499389648437;-189.91339111328125
9999594202.898531;-136.40266418457031;-192.86331176757812
9999595652.173893;-134.3782958984375;-190.38092041015625
9999597101.449255;-135.98214721679687;-192.45632934570312
9999598550.724617;-136.48429870605469;-200
9999599999.999979;-137.44001770019531;-192.86428833007812
9999601449.275341;-137.23054504394531;-193.52784729003906
9999602898.550703;-136.19230651855469;-189.47149658203125
9999604347.8260651;-137.58786010742187;-189.30412292480469
9999605797.1014271;-137.88301086425781;-192.70527648925781
9999607246.3767891;-136.76908874511719;-189.94453430175781
9999608695.6521511;-136.94841003417969;-181.57406616210937
9999610144.9275131;-138.04502868652344;-188.66726684570312
9999611594.2028751;-137.00907897949219;-189.61276245117187
9999613043.4782372;-137.63241577148437;-190.56611633300781
9999614492.7535992;-137.06137084960937;-188.35957336425781
9999615942.0289612;-137.11279296875;-191.22943115234375
9999617391.3043232;-136.99209594726562;-192.01249694824219
9999618840.5796852;-137.09428405761719;-200
9999620289.8550472;-136.95559692382812;-198.53778076171875
9999621739.1304092;-137.47547912597656;-185.07670593261719
9999623188.4057713;-137.72200012207031;-187.79881286621094
9999624637.6811333;-136.32902526855469;-182.20309448242187
9999626086.9564953;-137.86662292480469;-190.01292419433594
9999627536.2318573;-126.74283599853516;-186.01249694824219
9999628985.5072193;-136.44926452636719;-184.3017578125
9999630434.7825813;-136.76307678222656;-184.02685546875
9999631884.0579433;-135.37013244628906;-183.74830627441406
